"Dataset","a_pun_mean","a_pun_median","a_rew_mean","a_rew_median","K_mean","K_median","omega_f_mean","omega_f_median","omega_p_mean","omega_p_median"
"Ahn_healthy_data",0.0733933838746546,0.0625803823031221,0.255631891539229,0.16985818690217,2.32469767716049,1.83558733821743,1.13596609257255,1.42849422152553,-0.808622212541092,-0.935018780169938
"Ahn_healthy_sim_low",0.19669822286603,0.140787002689827,0.716969640970545,0.877499167694401,1.70603198081212,0.931027987403002,3.98491238170015,3.86117478490692,-1.48368937918091,-1.92203632469561
"Ahn_healthy_sim_high",0.421000124444547,0.192430483746008,0.669458198462648,0.821160749077189,2.21995929415421,1.77450886929575,3.23178182810493,2.79870588329408,-0.396929890173393,-0.489853107138097
"Ahn_heroin_data",0.0612020005221731,0.0432944758825591,0.351327348943883,0.269945412418786,2.13635306362544,1.57201969178581,1.20152006319323,1.03647491092569,-0.539742607833568,-0.331683076153276
"Ahn_heroin_sim_low",0.16770259807741,0.144796946284555,0.743511881885606,0.936589072242414,1.80344462079064,0.703910061815074,3.44242570079286,3.34961405265543,-1.23430728456935,-1.63715001793019
"Ahn_heroin_sim_high",0.0627579327239455,0.0302304092427837,0.503921991622206,0.476239729435008,1.93166102827101,1.58721850796366,0.350292994591762,0.836830389486201,2.59855993282678,3.42954000887879
"Wetzel_healthy_data",0.0702618521049977,0.0556253183891441,0.484500459012255,0.468575262818379,2.16189249470685,1.84883376131153,1.47539800997691,1.62283413874493,1.97645973732905,2.57371514392052
"Wetzel_healthy_sim_low",0.197867263507453,0.163263329834741,0.618580384053278,0.655031270000642,1.76072531217155,1.1673552843794,4.86033335020375,4.81784414581997,-1.25376632827106,-1.97063165988317
"Wetzel_healthy_sim_high",0.193389958496228,0.179610333146912,0.619364159852735,0.601182371952565,1.72126401441185,1.19346163679882,4.77973141965796,4.6551928793424,-1.35738938098163,-2.05108615258862
"Wetzel_heroin_sim_low",0.164867700836446,0.132556873710011,0.620389798185907,0.733095369174351,1.67782111203689,1.00942857408179,4.81904296075548,4.71646123612982,-1.28403422991738,-1.97479557947577
"Wetzel_heroin_sim_high",0.112250239772969,0.0701465606189073,0.558193059534029,0.593751818717978,1.97212990389942,1.46853835762503,3.11496700124632,3.48737107872315,0.973630707148749,0.943396454161681
